"cmTop","cmBot","ageTop (yr BP)","AgeBot (yr BP)","CharVol (cm3)","CharCount  (#)"
0.5,1,-42,-24,3,8
1,1.5,-24,5,3,18
1.5,2,5,62,5,34
2,2.5,62,88,5,51
2.5,3,88,114,5,9
3,3.5,114,140,5,8
3.5,4,140,166,5,6
4,4.5,166,191,5,5
4.5,5,191,217,5,16
5,5.5,217,243,5,9
5.5,6,243,268,5,15
6,6.5,268,294,5,51
6.5,7,294,320,5,0
7,7.5,320,345,5,9
7.5,8,345,370,5,3
8,8.5,370,396,5,9
8.5,9,396,421,5,164
9,9.5,421,446,5,18
9.5,9.75,446,458,5,5
9.75,10,458,471,3,2
10,10.25,471,483,3,1
10.25,10.5,483,496,3,0
10.5,10.75,496,508,3,1
10.75,11,508,521,3,2
11,11.25,521,533,3,6
11.25,11.5,533,545,3,17
11.5,11.75,545,558,3,37
11.75,12,558,570,3,5
12,12.25,570,582,3,3
12.25,12.5,582,594,3,1
12.5,12.75,594,607,3,13
12.75,13,607,619,3,12
13,13.25,619,631,3,16
13.25,13.5,631,643,3,14
13.5,13.75,643,656,3,4
13.75,14,656,668,3,0
14,14.25,668,680,3,4
14.25,14.5,680,692,3,2
14.5,14.75,692,704,3,4
14.75,15,704,717,3,2
15,15.25,717,729,3,1
15.25,15.5,729,741,3,5
15.5,15.75,741,753,3,9
15.75,16,753,765,3,17
16,16.25,765,777,3,23
16.25,16.5,777,789,3,3
16.5,16.75,789,801,3,9
16.75,17,801,813,3,4
17,17.25,813,825,3,4
17.25,17.5,825,837,3,6
17.5,17.75,837,850,3,1
17.75,18,850,862,3,17
18,18.25,862,874,3,41
18.25,18.5,874,886,3,19
18.5,18.75,886,898,3,27
18.75,19,898,910,3,4
19,19.25,910,922,3,5
19.25,19.5,922,934,3,10
19.5,19.75,934,946,3,2
19.75,20,946,958,3,1
20,20.25,958,970,3,17
20.25,20.5,970,982,3,5
20.5,20.75,982,994,3,11
20.75,21,994,1006,3,36
21,21.25,1006,1018,3,14
21.25,21.5,1018,1030,3,44
