cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
NaN                             ,-51                            ,3.2                            ,1.2                            ,1.0667                         ,0.011852                       ,0.062311                       ,-0.05046                       ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.0603                        ,151.0897                       ,40                             ,131.625                        ,110.25                         ,155.625                        ,146.346                        ,121.9301                       ,173.0702                       ,1.8417                         ,1.5596                         ,2.5537                         
0.66667                         ,-36                            ,10                             ,3                              ,3.3333                         ,0.085568                       ,0.061706                       ,0.023863                       ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.0952                        ,150.6854                       ,3                              ,545                            ,345                            ,780                            ,604.461                        ,340                            ,780                            ,3.2902                         ,2.5488                         ,NaN                            
1.0517                          ,-21                            ,18                             ,3                              ,6                              ,0.10345                        ,0.061077                       ,0.042371                       ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.13                          ,150.2833                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.3103                          ,-6                             ,22.2667                        ,3.5333                         ,6.2133                         ,0.093094                       ,0.060425                       ,0.032669                       ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.1649                        ,149.8833                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.5351                          ,9                              ,34                             ,5                              ,6.8                            ,0.059649                       ,0.059748                       ,-9.8621e-005                   ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.1996                        ,149.4856                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.6667                          ,24                             ,34                             ,5                              ,6.8                            ,0.059649                       ,0.059046                       ,0.00060319                     ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.2344                        ,149.09                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.7982                          ,39                             ,34                             ,5                              ,6.8                            ,0.059649                       ,0.05832                        ,0.0013296                      ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.269                         ,148.6967                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.9298                          ,54                             ,41.9333                        ,5                              ,8.3867                         ,0.1145                         ,0.057569                       ,0.056932                       ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.3037                        ,148.3057                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
2.1346                          ,69                             ,51                             ,5                              ,10.2                           ,0.19615                        ,0.056796                       ,0.13936                        ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,1                              ,1                              ,1                              ,1                              ,0                              ,1.1715                         ,18.3383                        ,147.917                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
2.4231                          ,84                             ,20.2                           ,5                              ,4.04                           ,0.077692                       ,0.056002                       ,0.021691                       ,0.041299                       ,0.061256                       ,0.084063                       ,0.061256                       ,-0.096674                      ,4.7021                         ,-999                           ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,18.3729                        ,147.5306                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
