cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
NaN                             ,-51                            ,3.2                            ,1.2                            ,1.0667                         ,0.011852                       ,0.062311                       ,-0.05046                       ,0.029106                       ,0.044718                       ,0.062218                       ,0.044718                       ,-0.061872                      ,2.334                          ,0.18775                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.6833                         ,172.3637                       ,40                             ,132.75                         ,110.25                         ,157.125                        ,145.631                        ,119.8147                       ,173.4146                       ,1.7686                         ,1.4431                         ,2.5354                         
0.66667                         ,-36                            ,10                             ,3                              ,3.3333                         ,0.085568                       ,0.061706                       ,0.023863                       ,0.029448                       ,0.045154                       ,0.062759                       ,0.045154                       ,-0.062076                      ,2.6763                         ,0.33641                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.733                          ,171.0694                       ,6                              ,275                            ,213.75                         ,345                            ,300.6028                       ,231.4798                       ,368.1562                       ,3.5763                         ,2.4748                         ,9.5844                         
1.0517                          ,-21                            ,18                             ,3                              ,6                              ,0.10345                        ,0.061077                       ,0.042371                       ,0.029754                       ,0.045544                       ,0.063243                       ,0.045544                       ,-0.062258                      ,3.0208                         ,0.35573                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.7827                         ,169.7752                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.3103                          ,-6                             ,22.2667                        ,3.5333                         ,6.2133                         ,0.093094                       ,0.060425                       ,0.032669                       ,0.030022                       ,0.045885                       ,0.063666                       ,0.045885                       ,-0.062417                      ,3.3674                         ,0.69235                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8322                         ,168.4809                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.5351                          ,9                              ,34                             ,5                              ,6.8                            ,0.059649                       ,0.059748                       ,-9.8621e-05                    ,0.030251                       ,0.046177                       ,0.064029                       ,0.046177                       ,-0.062552                      ,3.716                          ,0.78963                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8816                         ,167.1866                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.6667                          ,24                             ,34                             ,5                              ,6.8                            ,0.059649                       ,0.059046                       ,0.00060319                     ,0.030443                       ,0.046421                       ,0.06433                        ,0.046421                       ,-0.062663                      ,4.0661                         ,0.9175                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.9309                         ,165.8923                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.7982                          ,39                             ,34                             ,5                              ,6.8                            ,0.059649                       ,0.05832                        ,0.0013296                      ,0.030596                       ,0.046615                       ,0.06457                        ,0.046615                       ,-0.062748                      ,4.4174                         ,0.70561                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.98                           ,164.6311                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
1.9298                          ,54                             ,41.9333                        ,5                              ,8.3867                         ,0.1145                         ,0.057569                       ,0.056932                       ,0.030709                       ,0.046758                       ,0.064747                       ,0.046758                       ,-0.062809                      ,4.7693                         ,0.5998                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.029                          ,163.3919                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
2.1346                          ,69                             ,51                             ,5                              ,10.2                           ,0.19615                        ,0.056796                       ,0.13936                        ,0.030781                       ,0.046849                       ,0.064859                       ,0.046849                       ,-0.062848                      ,5.1211                         ,0.67479                        ,1                              ,1                              ,1                              ,1                              ,0                              ,1.6429                         ,6.078                          ,162.1528                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
2.4231                          ,84                             ,20.2                           ,5                              ,4.04                           ,0.077692                       ,0.056002                       ,0.021691                       ,0.030812                       ,0.046888                       ,0.064907                       ,0.046888                       ,-0.062864                      ,5.4723                         ,0.88605                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.1268                         ,160.9136                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
2.7115                          ,99                             ,9                              ,5                              ,1.8                            ,0.034615                       ,0.055189                       ,-0.020573                      ,0.030801                       ,0.046874                       ,0.064891                       ,0.046874                       ,-0.06286                       ,5.8222                         ,0.80641                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.1757                         ,159.6745                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
3                               ,114                            ,8                              ,5                              ,1.6                            ,0.030769                       ,0.054359                       ,-0.02359                       ,0.030751                       ,0.046812                       ,0.064815                       ,0.046812                       ,-0.06284                       ,6.17                           ,0.74104                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.2245                         ,158.4354                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
3.2885                          ,129                            ,7.4667                         ,5                              ,1.4933                         ,0.028718                       ,0.053519                       ,-0.024801                      ,0.030667                       ,0.046709                       ,0.06469                        ,0.046709                       ,-0.062811                      ,6.5155                         ,0.85653                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.2733                         ,157.1962                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
3.5769                          ,144                            ,6                              ,5                              ,1.2                            ,0.023077                       ,0.052672                       ,-0.029595                      ,0.03056                        ,0.046578                       ,0.064533                       ,0.046578                       ,-0.062782                      ,6.8587                         ,0.060196                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3221                         ,155.9756                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
3.8654                          ,159                            ,5.4667                         ,5                              ,1.0933                         ,0.021474                       ,0.051823                       ,-0.030348                      ,0.030443                       ,0.046438                       ,0.064368                       ,0.046438                       ,-0.062768                      ,7.2007                         ,0.84903                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3709                         ,154.7564                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
4.16                            ,174                            ,5                              ,5                              ,1                              ,0.02                           ,0.050962                       ,-0.030962                      ,0.030299                       ,0.04627                        ,0.064171                       ,0.04627                        ,-0.062765                      ,7.5457                         ,0.84595                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.4198                         ,153.5372                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
4.46                            ,189                            ,14.5333                        ,5                              ,2.9067                         ,0.056196                       ,0.050033                       ,0.0061628                      ,0.03004                        ,0.045959                       ,0.063802                       ,0.045959                       ,-0.06272                       ,7.9033                         ,0.90601                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.4688                         ,152.3179                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
4.75                            ,204                            ,15.0667                        ,5                              ,3.0133                         ,0.057949                       ,0.048817                       ,0.0091318                      ,0.029133                       ,0.044826                       ,0.062417                       ,0.044826                       ,-0.062318                      ,8.2298                         ,0.7689                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5178                         ,151.0987                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
