cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
6.7                             ,-40                            ,0.8                            ,3                              ,0.26667                        ,0.088                          ,0.068111                       ,0.019889                       ,0.058845                       ,0.10135                        ,0.149                          ,0.149                          ,-0.2365                        ,58.7612                        ,0.72226                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.8703                         ,NaN                            ,48                             ,120.2083                       ,94.4792                        ,146.25                         ,123.8317                       ,95.4571                        ,154.1982                       ,1.2815                         ,1.1285                         ,1.4915                         
10                              ,-30                            ,1.1                            ,3                              ,0.36667                        ,0.10817                        ,0.078371                       ,0.029796                       ,0.077627                       ,0.12631                        ,0.18088                        ,0.18088                        ,-0.26065                       ,57.1813                        ,0.72348                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.9216                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.95                           ,-20                            ,0.5                            ,3                              ,0.16667                        ,0.040833                       ,0.088685                       ,-0.047852                      ,0.096406                       ,0.15127                        ,0.21277                        ,0.21277                        ,-0.28481                       ,55.6178                        ,0.72456                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.9727                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.4                            ,-10                            ,2.9                            ,3                              ,0.96667                        ,0.22233                        ,0.099057                       ,0.12328                        ,0.11517                        ,0.17622                        ,0.24464                        ,0.24464                        ,-0.30898                       ,54.0709                        ,0.78977                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.0235                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.7                            ,0                              ,1.8                            ,3                              ,0.6                            ,0.1                            ,0.10949                        ,-0.0094899                     ,0.13391                        ,0.20114                        ,0.27648                        ,0.27648                        ,-0.33314                       ,52.5406                        ,0.88677                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.0741                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.3667                         ,10                             ,3.4                            ,3                              ,1.1333                         ,0.16244                        ,0.11998                        ,0.04246                        ,0.15262                        ,0.22601                        ,0.30827                        ,0.30827                        ,-0.35729                       ,51.027                         ,0.83424                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.1244                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.8                            ,20                             ,4                              ,3                              ,1.3333                         ,0.21333                        ,0.13054                        ,0.08279                        ,0.17128                        ,0.25082                        ,0.33999                        ,0.33999                        ,-0.38141                       ,49.5299                        ,0.85461                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.1745                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.4                            ,30                             ,2.8                            ,3                              ,0.93333                        ,0.13378                        ,0.14116                        ,-0.0073869                     ,0.18987                        ,0.27556                        ,0.3716                         ,0.3716                         ,-0.40548                       ,48.0488                        ,0.91927                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.2243                         ,156.0051                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.8333                         ,40                             ,2.2                            ,3                              ,0.73333                        ,0.10511                        ,0.15185                        ,-0.046737                      ,0.20839                        ,0.3002                         ,0.4031                         ,0.4031                         ,-0.4295                        ,46.5832                        ,0.91862                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.2739                         ,155.1932                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
25.2667                         ,50                             ,1.6                            ,3                              ,0.53333                        ,0.087111                       ,0.16259                        ,-0.075482                      ,0.22682                        ,0.32472                        ,0.43446                        ,0.43446                        ,-0.45344                       ,45.1322                        ,0.80231                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.3233                         ,154.3812                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
