cm Top_i (cm),age Top_i (yr BP),char Count_i (#),char Vol_i (cm3),char Con_i (# cm-3),char Acc_i (# cm-2 yr-1),charBkg (# cm-2 yr-1),char Peak (# cm-2 yr-1),thresh 1 (# cm-2 yr-1),thresh 2 (# cm-2 yr-1),thresh 3 (# cm-2 yr-1),thresh FinalPos (# cm-2 yr-1),thresh FinalNeg (# cm-2 yr-1),SNI (index),thresh GOF (p-val),peaks 1,peaks 2,peaks 3,peaks Final,peaks Insig.,peak Mag (# cm-2 peak-1),smPeak Frequ (peaks 1ka-1),smFRIs (yr fire-1),nFRIs (#),mFRI (yr fire-1),mFRI_uCI (yr fire-1),mFRI_lCI (yr fire-1),WBLb (yr),WBLb_uCI (yr),WBLb_lCI (yr),WBLc (unitless),WBLc_uCI (unitless),WBLc_lCI (unitless)
,-51,3.2,1.2,1.0667,0.011852,0.062311,-0.05046,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.679,166.6819,41,128.4146,103.5366,153.2927,146.7769,118.348,175.8287,1.8916,1.5605,2.4404
0.66667,-36,10,3,3.3333,0.085568,0.061706,0.023863,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.7288,165.5825,3,545,400,780,614.997,435.8858,790,3.3519,2.5996,Inf
1.0517,-21,18,3,6,0.10345,0.061077,0.042371,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.7785,164.4832,,,,,,,,,,
1.3103,-6,22.2667,3.5333,6.2133,0.093094,0.060425,0.032669,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.8281,163.3838,,,,,,,,,,
1.5351,9,34,5,6.8,0.059649,0.059748,-9.8621e-05,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.8775,162.2844,,,,,,,,,,
1.6667,24,34,5,6.8,0.059649,0.059046,0.00060319,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.9269,161.185,,,,,,,,,,
1.7982,39,34,5,6.8,0.059649,0.05832,0.0013296,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,5.9761,160.11,,,,,,,,,,
1.9298,54,41.9333,5,8.3867,0.1145,0.057569,0.056932,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,6.0252,159.0513,,,,,,,,,,
2.1346,69,51,5,10.2,0.19615,0.056796,0.13936,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,1,1,1,1,0,1.2143,6.0743,157.9925,,,,,,,,,,
2.4231,84,20.2,5,4.04,0.077692,0.056002,0.021691,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,6.1233,156.9337,,,,,,,,,,
2.7115,99,9,5,1.8,0.034615,0.055189,-0.020573,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,6.1722,155.8749,,,,,,,,,,
3,114,8,5,1.6,0.030769,0.054359,-0.02359,0.038448,0.058405,0.081212,0.058405,-0.096303,4.7578,-999,0,0,0,0,0,0,6.2212,154.8162,,,,,,,,,,
