cm Top_i (cm),age Top_i (yr BP),char Count_i (#),char Vol_i (cm3),char Con_i (# cm-3),char Acc_i (# cm-2 yr-1),charBkg (# cm-2 yr-1),char Peak (# cm-2 yr-1),thresh 1 (# cm-2 yr-1),thresh 2 (# cm-2 yr-1),thresh 3 (# cm-2 yr-1),thresh FinalPos (# cm-2 yr-1),thresh FinalNeg (# cm-2 yr-1),SNI (index),thresh GOF (p-val),peaks 1,peaks 2,peaks 3,peaks Final,peaks Insig.,peak Mag (# cm-2 peak-1),smPeak Frequ (peaks 1ka-1),smFRIs (yr fire-1),nFRIs (#),mFRI (yr fire-1),mFRI_uCI (yr fire-1),mFRI_lCI (yr fire-1),WBLb (yr),WBLb_uCI (yr),WBLb_lCI (yr),WBLc (unitless),WBLc_uCI (unitless),WBLc_lCI (unitless)
0,-57,0.618,3,0.206,0.033432,0.0087178,0.024714,0.0058808,0.0094593,0.013471,0.0094593,-0.014972,4.6357,0.11445,0,0,0,0,0,0,6.8185,126.8974,16,174.375,118.125,245.625,193.3751,133.8089,276.7418,1.397,1.0766,2.8565
2.4344,-42,0.44333,3,0.14778,0.018681,0.0086941,0.0099867,0.0058526,0.0094128,0.013403,0.0094128,-0.014894,4.6283,0.056904,0,0,0,0,1,0.25326,6.7738,128.1837,,,,,,,,,,
4.3305,-27,0.30267,3,0.10089,0.010878,0.0086736,0.0022048,0.0058258,0.009368,0.013338,0.009368,-0.014815,4.6209,0.15672,0,0,0,0,0,0,6.7296,129.4701,,,,,,,,,,
5.9479,-12,0,3,0,0,0.0086559,-0.0086559,0.0058002,0.0093246,0.013275,0.0093246,-0.014737,4.6134,0.16702,0,0,0,0,0,0,6.6858,130.7564,,,,,,,,,,
7.0329,3,0.45933,3,0.15311,0.0086431,0.0086402,2.8966e-06,0.0057754,0.009282,0.013213,0.009282,-0.014658,4.6058,0.10365,0,0,0,0,0,0,6.6425,132.0428,,,,,,,,,,
7.8796,18,0,3,0,0,0.0086259,-0.0086259,0.0057511,0.00924,0.013151,0.00924,-0.01458,4.5982,0.10068,0,0,0,0,0,0,6.5996,133.3292,,,,,,,,,,
8.5983,33,0.56333,3,0.18778,0.0085234,0.0086126,-8.9199e-05,0.0057269,0.0091981,0.013089,0.0091981,-0.014501,4.5907,0.12995,0,0,0,0,0,0,6.5572,134.6189,,,,,,,,,,
9.2792,48,1.5227,3,0.50756,0.029094,0.0085998,0.020494,0.0057025,0.0091559,0.013027,0.0091559,-0.014421,4.5832,0.31546,0,0,0,0,0,0,6.5151,135.9223,,,,,,,,,,
10.139,63,1.6793,3,0.55978,0.043458,0.0085873,0.034871,0.0056779,0.0091133,0.012964,0.0091133,-0.014341,4.5757,0.21006,1,1,1,1,0,0.59352,6.4735,137.2257,,,,,,,,,,
11.3035,78,0.43067,3,0.14356,0.0047219,0.0085743,-0.0038524,0.0056527,0.00907,0.0129,0.00907,-0.01426,4.5683,0.20161,0,0,0,0,0,0,6.4322,138.5291,,,,,,,,,,
