cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
0                               ,-57                            ,0.618                          ,3                              ,0.206                          ,0.033432                       ,0.0086224                      ,0.02481                        ,0.0059509                      ,0.0095291                      ,0.01354                        ,0.0095291                      ,-0.0149                        ,4.6148                         ,0.11471                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.8182                         ,126.8974                       ,16                             ,174.375                        ,113.4375                       ,246.0938                       ,184.4449                       ,118.2404                       ,261.8351                       ,1.3317                         ,0.99666                        ,2.6478                         
2.4344                          ,-42                            ,0.44333                        ,3                              ,0.14778                        ,0.018681                       ,0.0086006                      ,0.01008                        ,0.0059214                      ,0.0094811                      ,0.013471                       ,0.0094811                      ,-0.014822                      ,4.609                          ,0.059402                       ,0                              ,0                              ,0                              ,0                              ,1                              ,0.25407                        ,6.7736                         ,128.1837                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
4.3305                          ,-27                            ,0.30267                        ,3                              ,0.10089                        ,0.010878                       ,0.0085821                      ,0.0022963                      ,0.0058934                      ,0.0094349                      ,0.013405                       ,0.0094349                      ,-0.014744                      ,4.603                          ,0.087409                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.7294                         ,129.4701                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
5.9479                          ,-12                            ,0                              ,3                              ,0                              ,0                              ,0.0085663                      ,-0.0085663                     ,0.0058665                      ,0.00939                        ,0.01334                        ,0.00939                        ,-0.014666                      ,4.5969                         ,0.1659                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6858                         ,130.7564                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
7.0329                          ,3                              ,0.45933                        ,3                              ,0.15311                        ,0.0086431                      ,0.0085524                      ,9.0658e-05                     ,0.0058404                      ,0.009346                       ,0.013276                       ,0.009346                       ,-0.014588                      ,4.5907                         ,0.10306                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6425                         ,132.0428                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
7.8796                          ,18                             ,0                              ,3                              ,0                              ,0                              ,0.00854                        ,-0.00854                       ,0.0058147                      ,0.0093025                      ,0.013212                       ,0.0093025                      ,-0.014509                      ,4.5845                         ,0.10015                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5998                         ,133.3292                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
8.5983                          ,33                             ,0.56333                        ,3                              ,0.18778                        ,0.0085234                      ,0.0085285                      ,-5.104e-06                     ,0.0057892                      ,0.0092591                      ,0.013149                       ,0.0092591                      ,-0.014431                      ,4.5783                         ,0.12906                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5574                         ,134.6189                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
9.2792                          ,48                             ,1.5227                         ,3                              ,0.50756                        ,0.029094                       ,0.0085176                      ,0.020576                       ,0.0057635                      ,0.0092155                      ,0.013085                       ,0.0092155                      ,-0.014352                      ,4.572                          ,0.31381                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5155                         ,135.9223                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
10.139                          ,63                             ,1.6793                         ,3                              ,0.55978                        ,0.043458                       ,0.0085068                      ,0.034951                       ,0.0057376                      ,0.0091714                      ,0.01302                        ,0.0091714                      ,-0.014272                      ,4.5659                         ,0.21035                        ,1                              ,1                              ,1                              ,1                              ,0                              ,0.59424                        ,6.4739                         ,137.2257                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.3035                         ,78                             ,0.43067                        ,3                              ,0.14356                        ,0.0047219                      ,0.0084956                      ,-0.0037737                     ,0.0057111                      ,0.0091266                      ,0.012955                       ,0.0091266                      ,-0.014192                      ,4.5597                         ,0.21279                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.4327                         ,138.5291                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.7969                         ,93                             ,0                              ,3                              ,0                              ,0                              ,0.0084832                      ,-0.0084832                     ,0.0056839                      ,0.009081                       ,0.012889                       ,0.009081                       ,-0.014111                      ,4.5536                         ,0.1639                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3918                         ,139.8325                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.113                          ,108                            ,0                              ,3                              ,0                              ,0                              ,0.0084691                      ,-0.0084691                     ,0.005656                       ,0.0090342                      ,0.012821                       ,0.0090342                      ,-0.01403                       ,4.5475                         ,0.19973                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3512                         ,141.1359                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.433                          ,123                            ,0.14867                        ,3                              ,0.049556                       ,0.0010709                      ,0.0084528                      ,-0.0073819                     ,0.0056272                      ,0.0089864                      ,0.012752                       ,0.0089864                      ,-0.013948                      ,4.5415                         ,0.16145                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3109                         ,142.4393                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.7572                         ,138                            ,1                              ,3                              ,0.33333                        ,0.0070488                      ,0.0084341                      ,-0.0013853                     ,0.0055976                      ,0.0089375                      ,0.012681                       ,0.0089375                      ,-0.013865                      ,4.5356                         ,0.27282                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.2708                         ,143.7401                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
13.0744                         ,153                            ,1                              ,3                              ,0.33333                        ,0.0072251                      ,0.0084131                      ,-0.001188                      ,0.0055672                      ,0.0088877                      ,0.01261                        ,0.0088877                      ,-0.013782                      ,4.5297                         ,0.31658                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.231                          ,145.0388                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
