cm Top_i (cm),age Top_i (yr BP),char Count_i (#),char Vol_i (cm3),char Con_i (# cm-3),char Acc_i (# cm-2 yr-1),charBkg (# cm-2 yr-1),char Peak (# cm-2 yr-1),thresh 1 (# cm-2 yr-1),thresh 2 (# cm-2 yr-1),thresh 3 (# cm-2 yr-1),thresh FinalPos (# cm-2 yr-1),thresh FinalNeg (# cm-2 yr-1),SNI (index),thresh GOF (p-val),peaks 1,peaks 2,peaks 3,peaks Final,peaks Insig.,peak Mag (# cm-2 peak-1),smPeak Frequ (peaks 1ka-1),smFRIs (yr fire-1),nFRIs (#),mFRI (yr fire-1),mFRI_uCI (yr fire-1),mFRI_lCI (yr fire-1),WBLb (yr),WBLb_uCI (yr),WBLb_lCI (yr),WBLc (unitless),WBLc_uCI (unitless),WBLc_lCI (unitless)
,-57,47.9333,4.6667,9.5867,1.9173,0.26503,1.6523,0.31501,0.42361,0.54535,0.42361,-0.31787,9.62,0.28233,1,1,1,1,0,18.4304,2.5636,,19,289.7368,232.1053,371.0526,324.6841,258.0037,416.3177,1.5291,1.2044,2.3803
3,-42,15.6667,5,3.1333,0.29841,0.26652,0.031894,0.31148,0.41905,0.53963,0.41905,-0.31535,9.5083,0.011192,0,0,0,0,0,0,2.5693,,,,,,,,,,,
4.4286,-27,11.8667,5,2.3733,0.13436,0.26801,-0.13365,0.30791,0.41443,0.53383,0.41443,-0.3128,9.3967,0.0013232,0,0,0,0,0,0,2.5752,,,,,,,,,,,
5.2778,-12,19.7333,5,3.9467,0.20464,0.26951,-0.064871,0.30429,0.40975,0.52796,0.40975,-0.31023,9.2851,0.00021531,0,0,0,0,0,0,2.5812,,,,,,,,,,,
6.0556,3,26.8,5,5.36,0.31515,0.27102,0.044128,0.30063,0.40502,0.52202,0.40502,-0.30762,9.1734,0.00024417,0,0,0,0,0,0,2.5875,,,,,,,,,,,
6.9375,18,19.2667,4.5333,4.18,0.27867,0.27254,0.0061297,0.29693,0.40023,0.51601,0.40023,-0.30499,9.0614,0.00045125,0,0,0,0,0,0,2.594,,,,,,,,,,,
7.9375,33,25.2667,5,5.0533,0.3018,0.27406,0.027733,0.2932,0.39539,0.50995,0.39539,-0.30233,8.9491,0.00073849,0,0,0,0,0,0,2.6008,,,,,,,,,,,
8.8333,48,39.8,5,7.96,0.44222,0.2756,0.16662,0.28942,0.39051,0.50382,0.39051,-0.29965,8.8365,0.0013382,0,0,0,0,0,0,2.608,,,,,,,,,,,
9.6667,63,43.6,5,8.72,0.33146,0.27715,0.054315,0.28562,0.38559,0.49765,0.38559,-0.29695,8.7233,0.00091635,0,0,0,0,0,0,2.6156,,,,,,,,,,,
10.2368,78,52.3333,5,10.4667,0.28054,0.27871,0.0018341,0.28178,0.38063,0.49143,0.38063,-0.29422,8.6096,0.0017061,0,0,0,0,0,0,2.6235,,,,,,,,,,,
10.6389,93,50.8667,5,10.1733,0.28259,0.28027,0.002319,0.27792,0.37563,0.48516,0.37563,-0.29147,8.4953,0.0029603,0,0,0,0,0,0,2.6319,,,,,,,,,,,
11.0556,108,37,5,7.4,0.20556,0.28185,-0.076296,0.27404,0.37061,0.47885,0.37061,-0.2887,8.3805,0.0025117,0,0,0,0,0,0,2.6407,,,,,,,,,,,
11.4722,123,56.6,5,11.32,0.33171,0.28344,0.048271,0.27013,0.36555,0.47251,0.36555,-0.28591,8.265,0.0019329,0,0,0,0,0,0,2.6499,,,,,,,,,,,
11.9118,138,58.8,5,11.76,0.33051,0.28503,0.04548,0.26621,0.36047,0.46614,0.36047,-0.2831,8.149,0.0015621,0,0,0,0,0,0,2.6596,,,,,,,,,,,
12.3333,153,39.8,4.1,9.3486,0.25968,0.28663,-0.026947,0.26227,0.35538,0.45974,0.35538,-0.28028,8.0324,0.001448,0,0,0,0,0,0,2.6697,,,,,,,,,,,
12.75,168,31.4,3.1,10.7086,0.29746,0.28823,0.0092264,0.25832,0.35026,0.45332,0.35026,-0.27744,7.9153,0.0010315,0,0,0,0,0,0,2.6803,,,,,,,,,,,
13.1667,183,36.8,2.6,14.2933,0.40171,0.28984,0.11187,0.25436,0.34514,0.44688,0.34514,-0.27459,7.7977,0.00077585,0,0,0,0,0,0,2.6913,,,,,,,,,,,
13.5882,198,32,3,10.6667,0.31256,0.29145,0.021114,0.2504,0.34,0.44043,0.34,-0.27173,7.6798,0.00068246,0,0,0,0,0,0,2.7027,,,,,,,,,,,
