cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
NaN                             ,-57                            ,47.9333                        ,4.6667                         ,9.5867                         ,1.9173                         ,0.26499                        ,1.6523                         ,0.3149                         ,0.4235                         ,0.54522                        ,0.4235                         ,-0.31789                       ,9.6202                         ,0.28335                        ,1                              ,1                              ,1                              ,1                              ,0                              ,18.4327                        ,2.5634                         ,NaN                            ,19                             ,289.7368                       ,205.2632                       ,381.3158                       ,317.587                        ,220.0017                       ,425.8231                       ,1.4729                         ,1.1603                         ,2.2794                         
3                               ,-42                            ,15.6667                        ,5                              ,3.1333                         ,0.29841                        ,0.26649                        ,0.031926                       ,0.31138                        ,0.41894                        ,0.5395                         ,0.41894                        ,-0.31537                       ,9.5085                         ,0.011257                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.5692                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
4.4286                          ,-27                            ,11.8667                        ,5                              ,2.3733                         ,0.13436                        ,0.26799                        ,-0.13362                       ,0.30781                        ,0.41432                        ,0.5337                         ,0.41432                        ,-0.31282                       ,9.3969                         ,0.001332                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.5751                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
5.2778                          ,-12                            ,19.7333                        ,5                              ,3.9467                         ,0.20464                        ,0.26949                        ,-0.064853                      ,0.30419                        ,0.40964                        ,0.52783                        ,0.40964                        ,-0.31025                       ,9.2853                         ,0.00021683                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.5812                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
6.0556                          ,3                              ,26.8                           ,5                              ,5.36                           ,0.31515                        ,0.27101                        ,0.044139                       ,0.30053                        ,0.4049                         ,0.52189                        ,0.4049                         ,-0.30765                       ,9.1736                         ,0.0002459                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.5875                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
6.9375                          ,18                             ,19.2667                        ,4.5333                         ,4.18                           ,0.27867                        ,0.27253                        ,0.0061351                      ,0.29684                        ,0.40012                        ,0.51589                        ,0.40012                        ,-0.30502                       ,9.0616                         ,0.00045448                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.5941                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
7.9375                          ,33                             ,25.2667                        ,5                              ,5.0533                         ,0.3018                         ,0.27406                        ,0.027732                       ,0.2931                         ,0.39528                        ,0.50982                        ,0.39528                        ,-0.30236                       ,8.9493                         ,0.00074379                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.601                          ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
8.8333                          ,48                             ,39.8                           ,5                              ,7.96                           ,0.44222                        ,0.27561                        ,0.16662                        ,0.28932                        ,0.3904                         ,0.5037                         ,0.3904                         ,-0.29968                       ,8.8366                         ,0.0013478                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6082                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
9.6667                          ,63                             ,43.6                           ,5                              ,8.72                           ,0.33146                        ,0.27716                        ,0.054302                       ,0.28552                        ,0.38548                        ,0.49753                        ,0.38548                        ,-0.29698                       ,8.7235                         ,0.00092345                     ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6158                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
10.2368                         ,78                             ,52.3333                        ,5                              ,10.4667                        ,0.28054                        ,0.27872                        ,0.0018147                      ,0.28168                        ,0.38052                        ,0.49131                        ,0.38052                        ,-0.29425                       ,8.6098                         ,0.0017193                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6238                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
10.6389                         ,93                             ,50.8667                        ,5                              ,10.1733                        ,0.28259                        ,0.2803                         ,0.0022936                      ,0.27782                        ,0.37553                        ,0.48504                        ,0.37553                        ,-0.2915                        ,8.4955                         ,0.002983                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6322                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.0556                         ,108                            ,37                             ,5                              ,7.4                            ,0.20556                        ,0.28188                        ,-0.076327                      ,0.27394                        ,0.3705                         ,0.47873                        ,0.3705                         ,-0.28874                       ,8.3806                         ,0.0025321                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6411                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.4722                         ,123                            ,56.6                           ,5                              ,11.32                          ,0.33171                        ,0.28347                        ,0.048234                       ,0.27003                        ,0.36545                        ,0.47239                        ,0.36545                        ,-0.28595                       ,8.2652                         ,0.0019496                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6504                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
11.9118                         ,138                            ,58.8                           ,5                              ,11.76                          ,0.33051                        ,0.28507                        ,0.045437                       ,0.26611                        ,0.36037                        ,0.46602                        ,0.36037                        ,-0.28314                       ,8.1491                         ,0.0015764                      ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,2.6601                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
