cm Top_i (cm),age Top_i (yr BP),char Count_i (#),char Vol_i (cm3),char Con_i (# cm-3),char Acc_i (# cm-2 yr-1),charBkg (# cm-2 yr-1),char Peak (# cm-2 yr-1),thresh 1 (# cm-2 yr-1),thresh 2 (# cm-2 yr-1),thresh 3 (# cm-2 yr-1),thresh FinalPos (# cm-2 yr-1),thresh FinalNeg (# cm-2 yr-1),SNI (index),thresh GOF (p-val),peaks 1,peaks 2,peaks 3,peaks Final,peaks Insig.,peak Mag (# cm-2 peak-1),smPeak Frequ (peaks 1ka-1),smFRIs (yr fire-1),nFRIs (#),mFRI (yr fire-1),mFRI_uCI (yr fire-1),mFRI_lCI (yr fire-1),WBLb (yr),WBLb_uCI (yr),WBLb_lCI (yr),WBLc (unitless),WBLc_uCI (unitless),WBLc_lCI (unitless)
,-51     ,3.2     ,1.2     ,1.066667,0.01185185,0.07750629,-0.06565444,0.04709857,0.06661241,0.0884854,0.06661241,-0.06661241,3.52547 ,0.5871535,0,0,0,0,0,0       ,5.368545,171.6123,31      ,169.8387,129.1694,222.1935,189.1588,147.9828,239.5908,1.393917,1.142492,2.698479
0.6666667,-36     ,10      ,3       ,3.333333,0.08556833,0.07519035,0.01037797,0.04677298,0.06615192,0.0878737,0.06615192,-0.06615192,3.816861,0.6371995,0,0,0,0,0,0       ,5.39108 ,171.2446,5       ,330     ,268.425 ,378     ,363.0494,291.0754,406.805 ,5.488517,3.892803,12.60491
1.051724,-21     ,18      ,3       ,6       ,0.1034483,0.07288691,0.03056136,0.04644367,0.06568617,0.08725501,0.06568617,-0.06568617,4.109398,0.7559392,0,0,0,0,0,0       ,5.413929,170.8768,,,,,,,,,,
1.310345,-6      ,22.26667,3.533333,6.213333,0.0930935,0.07060679,0.02248671,0.04611066,0.06521519,0.08662938,0.06521519,-0.06521519,4.402708,0.8569276,0,0,0,0,0,0       ,5.437097,170.5091,,,,,,,,,,
1.535088,9       ,34      ,5       ,6.8     ,0.05964912,0.06835667,-0.008707545,0.04577427,0.06473942,0.08599739,0.06473942,-0.06473942,4.696266,0.8569276,0,0,0,0,0,0       ,5.460591,170.1414,,,,,,,,,,
1.666667,24      ,34      ,5       ,6.8     ,0.05964912,0.06613985,-0.006490727,0.04543505,0.06425966,0.08536009,0.06425966,-0.06425966,4.989437,0.8569276,0,0,0,0,0,0       ,5.484414,169.7737,,,,,,,,,,
1.798246,39      ,34      ,5       ,6.8     ,0.05964912,0.06395958,-0.00431046,0.04509381,0.06377703,0.08471899,0.06377703,-0.06377703,5.281527,0.6545264,0,0,0,0,0,0       ,5.508574,169.3963,,,,,,,,,,
1.929825,54      ,41.93333,5       ,8.386667,0.1145008,0.0618194,0.05268142,0.04475152,0.06329293,0.08407593,0.06329293,-0.06329293,5.571803,0.4047963,0,0,0,0,0,0       ,5.533079,169.0125,,,,,,,,,,
2.134615,69      ,51      ,5       ,10.2    ,0.1961538,0.0597213,0.1364325,0.04440922,0.0628088,0.08343283,0.0628088,-0.0628088,5.859524,0.5055864,1,1,1,1,0,1.104356,5.557942,168.6287,,,,,,,,,,
2.423077,84      ,20.2    ,5       ,4.04    ,0.07769231,0.05766013,0.02003218,0.04406792,0.0623261,0.08279163,0.0623261,-0.0623261,6.143993,0.5520085,0,0,0,0,0,0       ,5.583165,168.2449,,,,,,,,,,
